Mun_ID,nome,Area_Mun,X_Centroid_Pixel,Y_Centroid_Pixel,ID_Pixel,area_intersect_pixel_in_mun
122,Pedro Canário,433697499.382607,-40.0500000000008,-18.1500000000001,39644,29279588.9964444
122,Pedro Canário,433697499.382607,-40.1500000000008,-18.2500000000001,40298,380545.66616839
122,Pedro Canário,433697499.382607,-40.1000000000008,-18.2000000000001,39971,13932983.4929997
122,Pedro Canário,433697499.382607,-40.0000000000008,-18.1000000000001,39317,2739824.62367753
122,Pedro Canário,433697499.382607,-40.1000000000008,-18.2500000000001,40299,25815333.333605
122,Pedro Canário,433697499.382607,-40.0000000000008,-18.1500000000001,39645,27307018.3359861
122,Pedro Canário,433697499.382607,-39.9500000000008,-18.1500000000001,39646,11646918.010442
122,Pedro Canário,433697499.382607,-39.9000000000008,-18.1500000000001,39647,177806.066534432
122,Pedro Canário,433697499.382607,-40.1500000000008,-18.1000000000001,39314,1235576.54374433
122,Pedro Canário,433697499.382607,-40.1000000000008,-18.1000000000001,39315,19297122.4818852
122,Pedro Canário,433697499.382607,-40.1000000000008,-18.1500000000001,39643,14913248.4538912
122,Pedro Canário,433697499.382607,-40.0500000000008,-18.3000000000001,40628,7130287.87134138
122,Pedro Canário,433697499.382607,-40.0000000000008,-18.3000000000001,40629,8296977.00880505
122,Pedro Canário,433697499.382607,-39.9500000000008,-18.3000000000001,40630,15869506.4425388
122,Pedro Canário,433697499.382607,-39.9000000000008,-18.3000000000001,40631,836262.579325652
122,Pedro Canário,433697499.382607,-40.1500000000008,-18.3000000000001,40626,46110.6729795165
122,Pedro Canário,433697499.382607,-40.1000000000008,-18.3000000000001,40627,2509855.22432931
122,Pedro Canário,433697499.382607,-40.2000000000008,-18.0000000000001,38657,13218289.8009414
122,Pedro Canário,433697499.382607,-40.1500000000008,-18.0000000000001,38658,2153462.52419814
122,Pedro Canário,433697499.382607,-40.2000000000008,-18.0500000000001,38985,3119978.52753984
122,Pedro Canário,433697499.382607,-40.1500000000008,-18.0500000000001,38986,22860649.6927425
122,Pedro Canário,433697499.382607,-40.1000000000008,-18.0500000000001,38987,9669795.27325688
123,Conceiçao da Barra,1187090792.80131,-39.8500000000008,-18.3000000000001,40632,29254969.9316078
123,Conceiçao da Barra,1187090792.80131,-39.8000000000008,-18.3000000000001,40633,29254969.931599
123,Conceiçao da Barra,1187090792.80131,-39.7500000000008,-18.3000000000001,40634,25208195.9296721
123,Conceiçao da Barra,1187090792.80131,-39.8500000000008,-18.7000000000001,43256,533893.402177565
123,Conceiçao da Barra,1187090792.80131,-39.7000000000008,-18.3000000000001,40635,7995969.20519655
