ANA Código da Estação,Bacia Codigo,Bacia Nome,Sub-Bacia Codigo,Sub-Bacia Nome,RioCodigo,Rio Nome,MunicipioCodigo,Nome do Municipio,Nome da Estação,Tipo Estacao,Latitude,Longitude,Altitude (m),Area Drenagem (km2),Primeiro Ano com Dados,Ultimo Ano com Dados,Porcentagem de Dados  Ausentes
57300000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57371200,Rio Novo ,18044000,Rio Novo Do Sul,Pau D'Alho,Fluviométrica,-20.8856,-40.9464,15,304,1956,2019,23
57320000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57371100,Rio Iconha,18026000,Iconha,Iconha Montante,Fluviométrica,-20.7772,-40.8281,25,152,1969,2019,1
57350000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57410000,Rio Braço Norte Esquerdo,18037000,Muniz Freire,Usina Fortaleza,Fluviométrica,-20.3722,-41.4092,554,205,1968,2019,0
57360000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57410100,Rio Pardo,18030000,Iúna,Iúna,Fluviométrica,-20.3528,-41.5342,640,412,1952,2019,0
57370000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57410100,Rio Pardo,18037000,Muniz Freire,Terra Corrida  Montante,Fluviométrica,-20.4303,-41.5028,380,566,1968,2019,0
57400000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57410000,Rio Braço Norte Esquerdo,18037000,Muniz Freire,Itaici,Fluviométrica,-20.5283,-41.5114,380,1010,1961,2019,0
57420000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57420000,Rio Braço Norte Direito,18002000,Alegre,Ibitirama,Fluviométrica,-20.5406,-41.6656,710,337,1952,2019,0
57450000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57400000,Rio Itapemirim,18002000,Alegre,Rive,Fluviométrica,-20.7469,-41.4661,128,2180,1935,2018,0
57460000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57400000,Rio Itapemirim,18012000,Cachoeiro Do  Itapemirim,Pacotuba,Fluviométrica,-20.7617,-41.2728,85,2720,1984,2010,1
57476500,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57430100,Rio Castelo,18017000,Conceição Do Castelo,Fazenda Lajinha,Fluviométrica,-20.4269,-41.275,,410,1984,2019,0
57480000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57430100,Rio Castelo,18014000,Castelo,Pch São João Jusante,Fluviométrica,-20.5728,-41.2356,100,718,2002,2018,2
57490000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57430100,Rio Castelo,18014000,Castelo,Castelo,Fluviométrica,-20.6061,-41.1997,107,972,1937,2019,0
57550000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57430100,Rio Castelo,18012000,Cachoeiro Do  Itapemirim,Usina São Miguel,Fluviométrica,-20.7025,-41.1736,200,1420,1968,2019,0
57555000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57400000,Rio Itapemirim,18012000,Cachoeiro Do  Itapemirim,Coutinho,Fluviométrica,-20.7583,-41.1736,15,4510,1969,2010,5
57560000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57400000,Rio Itapemirim,18012000,Cachoeiro Do  Itapemirim,Cachoeiro Do Itapemirim,Fluviométrica,-20.8653,-41.1006,29,4890,1935,1980,0
57580000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57400000,Rio Itapemirim,18028000,Itapemirim,Usina Paineiras,Fluviométrica,-20.9525,-40.9528,40,5170,1968,2019,6
57630000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57450100,Rio Muqui Do Norte,18007000,Atílio Vivacqua,Atílio Vivacqua,Fluviométrica,-20.9142,-41.1939,76,286,1935,1980,1
57650000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57450100,Rio Muqui Do Norte,18043000,Presidente Kennedy,Fazenda Cacheta,Fluviométrica,-21.0167,-41.0864,,478,1984,2019,3
57720000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57450400,Rio Preto,18020000,Dores Do Rio Preto,Dores Do Rio Preto,Fluviométrica,-20.6864,-41.8467,766,222,1948,2019,0
57740000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57530000,Rio Do Veado,18023000,Guaçuí,Guaçuí,Fluviométrica,-20.7722,-41.6811,576,408,1937,2019,0
57770000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57543000,Rio Calçado,18048000,São José Do Calçado,São José Do Calçado,Fluviométrica,-21.0286,-41.6519,150,153,1952,2019,0
57830000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57500000,Rio Itabapoana,18034000,Mimoso Do Sul,Ponte Do Itabapoana,Fluviométrica,-21.2061,-41.4639,40,2720,1930,2019,0
57880000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57552000,Rio Muqui Do Sul,18034000,Mimoso Do Sul,Mimoso Do Sul,Fluviométrica,-21.0647,-41.3628,41,365,1953,2019,22
57930000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57500000,Rio Itabapoana,18034000,Mimoso Do Sul,Santa Cruz,Fluviométrica,-21.2219,-41.3081,15,3620,1957,2019,16
