date,id,evap,relHum,solarRad,tempMax,tempMin,winSpeed
03/04/1980,1,1.76760340399653,83.25,8.47422575229478,26.3,19,0
04/04/1980,1,2.0390609776557,82.75,8.70539818680663,27.2,20.6,0.75
05/04/1980,1,1.67696209783455,84,8.10180238919281,25.4,18,0
06/04/1980,1,1.70953063584614,79.75,8.19352177734822,25.7,19.6,0
07/04/1980,1,2.59799592879252,81.25,12.8263259083117,27.8,20.4,0.50000025
08/04/1980,1,2.47930259753042,77.75,10.9781559424907,28.6,21.3,0.75
09/04/1980,1,2.92246471843757,81,14.6054854698004,31.2,20.6,0.24999975
10/04/1980,1,2.31435185406737,85.5,10.4524888348312,29.7,20.2,0.75
11/04/1980,1,2.35622446632123,83.75,12.4262337117759,27.5,19.3,0
12/04/1980,1,3.06692142623691,78,15.5964627190344,31.6,20.6,0.24999975
13/04/1980,1,2.00408531740257,83.5,8.93829824086835,28.7,20.3,0.50000025
14/04/1980,1,2.94456126332615,79,15.0367413347793,29.5,19.9,0.50000025
15/04/1980,1,2.54314007810648,77.75,11.8974405489912,28.2,20.5,0.75
16/04/1980,1,1.79156281682759,86,7.59162384558991,25.9,19.8,0.99999975
17/04/1980,1,1.72323203823402,80.5,8.07372693022649,25.7,19.1,0.24999975
18/04/1980,1,2.36069733559646,83,11.442311386316,26.8,18.2,0.99999975
19/04/1980,1,3.38729676667731,75.5,20.2762531818224,27.8,17.9,0.24999975
20/04/1980,1,2.85535465046042,80,15.7462363572042,28.5,16.6,0.50000025
21/04/1980,1,2.68534669519021,81.5,15.0163422965798,29.4,15.8,0.24999975
22/04/1980,1,3.37240406603868,81.75,19.8446146241725,28.6,14.6,0.75
23/04/1980,1,3.49620574367377,78.5,20.6450234561541,27.3,15.9,0.99999975
24/04/1980,1,2.75676514161432,76.5,16.8305454270744,27.7,14.1,0.24999975
25/04/1980,1,3.02554192876004,79.5,16.6171298868672,27.1,15.2,1.25000025
26/04/1980,1,3.42693077643368,72.5,20.3380421558586,27.5,13.5,0.99999975
27/04/1980,1,2.7445770144929,73.25,16.3216474336057,28.3,16.2,0.24999975
28/04/1980,1,2.39803611828393,79.25,14.2265986784631,26.5,15.3,0.24999975
29/04/1980,1,2.38706823771566,82.25,13.0262394263824,27.6,16.6,0.50000025
30/04/1980,1,2.85647540802751,80.25,17.1962245707678,28.6,15.8,0.24999975
01/05/1980,1,2.67552227121558,76.75,16.9862806745167,29.5,14.3,0
02/05/1980,1,1.74571067222667,80.25,9.48793594544906,28.6,15.5,0
03/05/1980,1,1.82616125491707,81.5,9.80550297469972,26.5,19.5,0
04/05/1980,1,2.26012049792225,81,13.0605632142922,27.7,18.5,0
05/05/1980,1,2.82839811300962,80.5,17.5078095515828,28.3,15.6,0.24999975
06/05/1980,1,2.69970090003812,80.25,16.694778921705,27.6,16,0.24999975
07/05/1980,1,2.3816859568579,79.5,14.4375954743859,28.5,13.6,0.24999975
08/05/1980,1,2.53826755812498,80.75,14.9699287906293,28.3,14.2,0.50000025
09/05/1980,1,2.41371200925498,81.25,13.4592236986507,27.4,15.3,0.75
10/05/1980,1,2.42044027691688,79.5,13.2754178918152,26.6,13.9,0.99999975
11/05/1980,1,2.62412681050903,79.5,16.6627708105011,28.3,14.4,0.24999975
12/05/1980,1,2.31117260961126,77.75,11.9659171419684,28.5,15.3,0.75
13/05/1980,1,2.33884615904519,79.5,13.5623476515549,26.8,16.9,0.50000025
14/05/1980,1,2.38919514863147,81.25,13.7361548154577,27.2,14.7,0.75
15/05/1980,1,2.19734240887084,80.5,14.143590678774,26.6,12.9,0.24999975
16/05/1980,1,2.75919588860662,71.75,18.2822376839695,28.4,15.6,0.24999975
17/05/1980,1,2.47986694393214,74,17.0440165570041,29.5,13.9,0
18/05/1980,1,1.72751699505089,76,10.25693928845,27.6,16.2,0
19/05/1980,1,2.10692038607444,81.75,12.5207025105437,28.3,15.1,0.24999975
20/05/1980,1,1.97266893547984,80,11.4345624450508,27.4,16.4,0.24999975
21/05/1980,1,1.94153658307242,81.25,12.5342093246421,26.7,14.6,0
22/05/1980,1,2.72666251845867,79.25,15.6832254284249,27.7,13.2,1.25000025
23/05/1980,1,1.55867735188414,77.25,6.51820146603829,24.9,15.9,0.75
24/05/1980,1,1.72105729941769,77,9.89519693778123,25.4,16.2,0.24999975
